name,mascot,city,state,primary_color,secondary_color,team_logo_image
Canutillo,Eagles,Canutillo,TX,#A8170B,#A8170B,
Canyon,Eagles,Canyon,TX,#000000,#C8102E,
Canyon,Cougars,New Braunfels,TX,,,
Canyon Lake,Hawks,Fischer,TX,#006400,#FFFFFF,
Capito,Lions,Baton Rouge,LA,,,
Capitol Hill,,,OK,,,
Caprock,Longhorns,Amarillo,TX,#FF6600,#FFFFFF,
Captain Shreve,Gators,Shreveport,LA,,,
Carencro,Bears,Carencro,LA,,,
Carl Albert,Titans,Midwest City,OK,,,
Carlisle,Indians,Henderson,TX,#1F4FBF,#FFD100,
Carmi,Bulldogs,Carmi,IL,,,
Carnegie,Wildcats,Carnegie,OK,#D62828,#000000,
Carolina,Trojans,Greenville,SC,#FB6A00,#003057,
Carrizo Springs,Wildcats,Carrizo Springs,TX,#2A248A,#AAADBE,
Carroll,Tigers,Corpus Christi,TX,,,
Carter,Cowboys,Dallas,TX,#FF0000,#C4D8E2,
Carter-Riverside,Eagles,Fort Worth,TX,,,
Carthage,Bulldogs,Carthage,TX,#FF0000,#FFFFFF,
Casady,,,OK,,,
Cashion,,,OK,,,
Cashion,Wildcats,,OK,,,
Castle Hall,Commandos,Tulsa,OK,,,
Castleberry,lIONS,Fort Worth,TX,,,
Cathedral,Irish,El Paso,TX,,,
Catholic,Bears,Baton Rouge,LA,,,
Catholic,Panthers,New Iberia,LA,,,
Catholic,Hornets,Pointe Coupee,LA,,,
Catholic B.R,Bears,LA,,,,
Catholic-B.R._vs._Acadiana_(LHSAA_Division_I_Select_Semifinal),,,,,,
Catoosa,,,OK,,,
Cave Springs,,,OK,,,
Cayuga,Wildcats,Cayuga,TX,#0C0B18,#A6B3CF,
Cecilia,Bullodgs,Cecilia,LA,,,
Cedar Creek,Eagles,Cedar Creek,TX,#000000,#FFFFFF,
Cedar Creek,Cougars,Ruston,LA,,,
Cedar Hill,Longhorns,Cedar Hill,TX,,,
Cedar Park,Timber Wolves,Cedar Park,TX,#024b30,#000000,
Cedar Ridge,Raiders,Round Rock,TX,,,
Celeste,Blue Devils,Celeste,TX,,,
Celina,Bobcats,Celina,TX,#FFA500,#FFFFFF,
Centennial,Spartans,Burleson,TX,#0206AA,#F4F7FA,
Centennial,Titans,Frisco,TX,,,
Center,Rough Riders,Center,TX,#4B0082,#FFD700,
Center Point,Pirates,Center Point,TX,,,
Centerville,Bulldogs,Centerville,LA,,,
Centerville,Tigers,Centerville,TX,,,
Centex Sports Association,Outlaws,,TX,,,
Central,Wildcats,Central,LA,,,
Central,Chargers,Keller,TX,,,
Central,Eagles,Pageland,SC,#FF0000,#C4D8E2,
Central,Bobcats,San Angelo,TX,,,
Central,,Tulsa,OK,,,
Central Catholic,Eagles,Morgan City,LA,,,
Central Catholic,Buttons,San Antonio,TX,#000000,#D4AF37,
Central High,,,OK,,,
Central Private,Redhawks,Baker,LA,,,
Central Sallisaw,,,OK,,,
Central Texas Christian,Lions,Temple,TX,,,
Chalmette,Owls,Chalmette,LA,,,
Champion,Chargers,Boerne,TX,#2C2F6C,#FFFFFF,
Chandler,,,OK,,,
Channelview,Falcons,,TX,,,
Chaparral,Bobcats,Killeen,TX,,,
Chapel Hill,Bulldogs,Tyler,TX,,,
Chapin,Eagles,Chapin,SC,#000080,#87CEEB,
Chapin,Huskies,El Paso,TX,,,
Charlotte,Trojans,Charlotte,TX,,,
Chavez,Lobos,Houston,TX,,,
Checotah,,,OK,,,
Chelsea,,,OK,,,
Cherokee,,,OK,,,
Cherokee,Indians,Cherokee,TX,,,
Chester,,,TX,,,
Chickasha,Fightin' Chicks,Chickasha,OK,#4B2E83,#B0B0B0,
Chico,Dragons,Chico,TX,,,
Childress,Bobcats,Childress,TX,#0000FF,#FFFFFF,
Chillicothe,Eagles,Chillicothe,TX,,,
Chilton,Pirates,Chilton,TX,,,
China Spring,Cougars,China Spring,TX,#87CEEB,#FFFFFF,
Chisholm,,,OK,,,
Chisholm Trail,Rangers,Fort Worth,TX,,,
Chisum,Mustangs,Paris,TX,,,
Choctaw,,,OK,,,
Choctaw,Yellow Jackets,,OK,,,
Choctawhatchee,Indians,Fort Walton Beach,FL,#4CBB17,#FFFFFF,
Chouteau-Mazie,,,OK,,,
